날짜,항공사,출발시간,출발지,도착시간,도착지,소요시간,가격,최저가 결제수단
2024.03.15 Fri,에어서울,18:00,KIX,20:05,ICN, 02:05,"219,800원",KB국민
2024.03.15 Fri,에어부산,18:30,KIX,20:35,ICN, 02:05,"221,900원",모든 결제수단
2024.03.15 Fri,제주항공,19:40,KIX,21:40,ICN, 02:00,"230,200원",KB국민
2024.03.15 Fri,티웨이항공,10:55,KIX,12:55,ICN, 02:00,"250,900원",KB국민
2024.03.15 Fri,대한항공,11:55,KIX,14:00,ICN, 02:05,"251,200원",KB국민
2024.03.15 Fri,대한항공,13:45,KIX,15:45,ICN, 02:00,"252,800원",KB국민
2024.03.15 Fri,제주항공,09:50,KIX,11:50,ICN, 02:00,"254,800원",KB국민
2024.03.15 Fri,아시아나항공,09:00,KIX,11:00,ICN, 02:00,"256,900원",현대 M2/M3 Edition2
2024.03.15 Fri,아시아나항공,10:50,KIX,12:50,ICN, 02:00,"256,900원",현대 M2/M3 Edition2
2024.03.15 Fri,아시아나항공,17:00,KIX,19:05,ICN, 02:05,"256,900원",현대 M2/M3 Edition2
2024.03.15 Fri,대한항공,18:10,KIX,20:15,ICN, 02:05,"264,200원",KB국민
2024.03.15 Fri,대한항공,11:55,KIX,14:00,ICN, 02:05,"264,200원",KB국민
2024.03.15 Fri,에어부산,15:25,KIX,17:40,ICN, 02:15,"266,400원",모든 결제수단
2024.03.15 Fri,대한항공,09:20,KIX,11:15,ICN, 01:55,"285,600원",KB국민
2024.03.15 Fri,제주항공,11:50,KIX,13:50,ICN, 02:00,"305,500원",KB국민
2024.03.15 Fri,제주항공,12:30,KIX,14:45,ICN, 02:15,"327,100원",삼성
2024.03.15 Fri,에어부산,12:25,KIX,14:25,ICN, 02:00,"346,400원",모든 결제수단
2024.03.15 Fri,티웨이항공,15:30,KIX,17:35,ICN, 02:05,"414,100원",모든 결제수단
2024.03.15 Fri,일본항공,18:10,KIX,20:15,ICN, 02:05,"1,262,000원",KB국민
2024.03.15 Fri,일본항공,11:55,KIX,14:00,ICN, 02:05,"1,262,000원",KB국민
2024.03.15 Fri,일본항공,09:20,KIX,11:15,ICN, 01:55,"1,262,000원",KB국민
2024.03.15 Fri,일본항공,13:45,KIX,15:45,ICN, 02:00,"1,262,000원",KB국민
2024.03.15 Fri,ANA,17:00,KIX,19:05,ICN, 02:05,"1,378,700원",KB국민
2024.03.15 Fri,ANA,10:50,KIX,12:50,ICN, 02:00,"1,378,700원",KB국민
2024.03.15 Fri,ANA,09:00,KIX,11:00,ICN, 02:00,"1,378,700원",KB국민
2024.03.16 Sat,이스타항공,11:50,KIX,13:50,ICN, 02:00,"196,100원",KB국민
2024.03.16 Sat,이스타항공,18:00,KIX,19:50,ICN, 01:50,"211,600원",KB국민
2024.03.16 Sat,제주항공,11:50,KIX,13:50,ICN, 02:00,"213,800원",KB국민
2024.03.16 Sat,제주항공,12:30,KIX,14:45,ICN, 02:15,"213,800원",KB국민
2024.03.16 Sat,티웨이항공,10:55,KIX,12:55,ICN, 02:00,"227,200원",KB국민
2024.03.16 Sat,제주항공,18:00,KIX,20:10,ICN, 02:10,"230,200원",KB국민
2024.03.16 Sat,제주항공,19:40,KIX,21:40,ICN, 02:00,"230,200원",KB국민
2024.03.16 Sat,진에어,11:05,KIX,13:10,ICN, 02:05,"234,300원",KB국민
2024.03.16 Sat,에어서울,16:00,KIX,17:55,ICN, 01:55,"236,200원",KB국민
2024.03.16 Sat,에어부산,15:25,KIX,17:40,ICN, 02:15,"239,700원",모든 결제수단
2024.03.16 Sat,티웨이항공,15:30,KIX,17:35,ICN, 02:05,"250,900원",KB국민
2024.03.16 Sat,에어서울,18:00,KIX,20:05,ICN, 02:05,"252,500원",KB국민
2024.03.16 Sat,에어서울,09:55,KIX,11:55,ICN, 02:00,"252,500원",KB국민
2024.03.16 Sat,진에어,12:00,KIX,14:00,ICN, 02:00,"253,900원",KB국민
2024.03.16 Sat,에어부산,18:30,KIX,20:35,ICN, 02:05,"266,400원",모든 결제수단
2024.03.16 Sat,진에어,18:00,KIX,19:55,ICN, 01:55,"273,600원",KB국민
2024.03.16 Sat,진에어,16:00,KIX,18:10,ICN, 02:10,"273,600원",KB국민
2024.03.16 Sat,티웨이항공,19:00,KIX,20:55,ICN, 01:55,"273,800원",KB국민
2024.03.16 Sat,대한항공,18:10,KIX,20:15,ICN, 02:05,"285,600원",KB국민
2024.03.16 Sat,대한항공,11:55,KIX,14:00,ICN, 02:05,"285,600원",KB국민
2024.03.16 Sat,대한항공,11:05,KIX,13:10,ICN, 02:05,"305,200원",KB국민
2024.03.16 Sat,제주항공,09:50,KIX,11:50,ICN, 02:00,"305,500원",KB국민
2024.03.16 Sat,아시아나항공,17:00,KIX,19:05,ICN, 02:05,"313,000원",현대 M2/M3 Edition2
2024.03.16 Sat,대한항공,13:45,KIX,15:45,ICN, 02:00,"339,600원",KB국민
2024.03.16 Sat,아시아나항공,18:00,KIX,19:50,ICN, 01:50,"342,200원",현대 M2/M3 Edition2
2024.03.16 Sat,대한항공,09:20,KIX,11:15,ICN, 01:55,"413,200원",KB국민
2024.03.16 Sat,아시아나항공,10:50,KIX,12:50,ICN, 02:00,"417,200원",현대 M2/M3 Edition2
2024.03.16 Sat,아시아나항공,09:00,KIX,11:00,ICN, 02:00,"502,400원",현대 M2/M3 Edition2
2024.03.16 Sat,일본항공,18:10,KIX,20:15,ICN, 02:05,"1,262,000원",KB국민
2024.03.16 Sat,일본항공,11:55,KIX,14:00,ICN, 02:05,"1,262,000원",KB국민
2024.03.16 Sat,일본항공,09:20,KIX,11:15,ICN, 01:55,"1,262,000원",KB국민
2024.03.16 Sat,일본항공,13:45,KIX,15:45,ICN, 02:00,"1,262,000원",KB국민
2024.03.16 Sat,ANA,17:00,KIX,19:05,ICN, 02:05,"1,378,700원",KB국민
2024.03.16 Sat,ANA,10:50,KIX,12:50,ICN, 02:00,"1,378,700원",KB국민
2024.03.15 Fri,제주항공,09:05,ICN,11:30,NRT, 02:25,"223,300원",삼성 iD NOMAD 
2024.03.15 Fri,제주항공,10:35,ICN,13:00,NRT, 02:25,"223,300원",삼성 iD NOMAD 
2024.03.15 Fri,에어프레미아,08:25,ICN,11:00,NRT, 02:35,"226,900원",KB국민
2024.03.15 Fri,에어서울,07:55,ICN,10:25,NRT, 02:30,"240,700원",삼성
2024.03.15 Fri,에어서울,09:40,ICN,12:10,NRT, 02:30,"240,700원",삼성
2024.03.15 Fri,에어부산,15:05,ICN,17:30,NRT, 02:25,"243,500원",Mile1 하나
2024.03.15 Fri,이스타항공,08:40,ICN,11:00,NRT, 02:20,"257,800원",KB국민
